baseline,cache_outcome,query_id,gt_score,gt_method,latency_s,cost_usd,input_tokens,output_tokens,executed,rejected,judge_verdict,stages_run,execution_path,plan_validation_stage_failed,plan_source,operators_used,ff_planner_used,ff_planner_latency_s,ff_planner_input_tokens,ff_planner_output_tokens,ff_planner_cost_usd,guardrail_latency_s,cache_lookup_latency_s,cache_grounding_latency_s,cache_validation_latency_s,cache_rejection_latency_s,cache_retry_overhead_s,typed_exec_latency_s,agent_latency_s,guardrail_latency_ms,cache_lookup_latency_ms,cache_grounding_latency_ms,cache_validation_latency_ms,cache_rejection_latency_ms,cache_retry_overhead_ms,typed_exec_latency_ms,agent_latency_ms
FLASH_FUSION_CACHE,hit,1,1.0,llm_judge_score,0.747061014175415,4.57e-05,860,27,True,False,N/A,"hybrid_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,semantic_cache_light_grounded,"FILTER_COMPARE,AGGREGATE_COLUMN",False,0.0,0,0,0.0,0.0,0.016345666999768582,0.6626729999998133,0.0016019579998101108,0.0,0.0,0.0028042090007147635,0.0,0.0,16.345666999768582,662.6729999998133,1.6019579998101108,0.0,0.0,2.8042090007147635,0.0
FLASH_FUSION_CACHE,hit,2,1.0,llm_judge_score,1.149623155593872,4.38e-05,818,29,True,False,N/A,"hybrid_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,semantic_cache_light_grounded,"FILTER_NOT_EMPTY,FILTER_COMPARE,COUNT_DISTINCT",False,0.0,0,0,0.0,0.0,0.09763141599978553,0.6637375839991364,0.0738535000000411,0.0,0.0,0.27749395800037746,0.0,0.0,97.63141599978553,663.7375839991364,73.8535000000411,0.0,0.0,277.49395800037746,0.0
FLASH_FUSION_CACHE,hit,3,1.0,llm_judge_score,1.1131892204284668,4.955e-05,871,60,True,False,N/A,"hybrid_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,semantic_cache_light_grounded,"FILTER_COMPARE,FILTER_COMPARE,AGGREGATE_COLUMN",False,0.0,0,0,0.0,0.0,0.12867625000035332,0.8404785000002448,0.09889924899925973,0.0,0.0,0.0037308330001906143,0.0,0.0,128.67625000035332,840.4785000002448,98.89924899925973,0.0,0.0,3.7308330001906143,0.0
FLASH_FUSION_CACHE,miss,4,1.0,llm_judge_score,4.289639234542847,0.0010377939999999999,5037,125,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_miss_or_validation_failure,guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"GROUP_AGGREGATE,RANK_GROUPS",True,3.6960792541503906,3902,102,0.000978744,3.6961121559143066,0.0005260839998300071,0.5272427910003898,2.9100010578986257e-07,0.0,0.0,0.015855073928833008,0.0,3696.1121559143066,0.5260839998300071,527.2427910003898,0.0002910001057898626,0.0,0.0,15.855073928833008,0.0
FLASH_FUSION_CACHE,hit,5,1.0,llm_judge_score,1.66715407371521,6.615e-05,1147,88,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,exact_query_cache_light_grounded,"FILTER_NOT_EMPTY,DERIVE_VECTOR_MAGNITUDE,SPLIT_BY_VALUES,SPLIT_BY_VALUES,AGGREGATE_PARTITIONS,COMPARE_PARTITIONS",False,0.0,0,0,0.0,0.0,0.0005457080005726311,1.0061483749996114,0.17933816599997954,0.0,0.0,0.433086916999855,0.0,0.0,0.5457080005726311,1006.1483749996114,179.33816599997954,0.0,0.0,433.086916999855,0.0
FLASH_FUSION_CACHE,miss,6,1.0,llm_judge_score,12.946882247924805,0.0026272599999999998,10337,550,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_miss_or_validation_failure,guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"FILTER_NOT_EMPTY,DERIVE_DURATION_SECONDS,PARALLEL_AGGREGATE,DERIVE_BINARY,FILTER_COMPARE,RANK_ROWS",True,9.190272092819214,8431,401,0.00251706,9.190309286117554,0.00052579200018954,1.5536309170001914,0.0002054170008705114,0.0,0.0,2.1447718143463135,0.0,9190.309286117554,0.52579200018954,1553.6309170001914,0.2054170008705114,0.0,0.0,2144.7718143463135,0.0
FLASH_FUSION_CACHE,hit,7,1.0,llm_judge_score,1.0468580722808838,5.51e-05,982,60,True,False,N/A,"hybrid_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,semantic_cache_light_grounded,"FILTER_COMPARE,FILTER_COMPARE,DERIVE_VECTOR_MAGNITUDE,AGGREGATE_COLUMN",False,0.0,0,0,0.0,0.0,0.12713758300014888,0.7636558750000404,0.08860479200029658,0.0,0.0,0.03181429100004607,0.0,0.0,127.13758300014888,763.6558750000404,88.60479200029658,0.0,0.0,31.81429100004607,0.0
FLASH_FUSION_CACHE,hit,8,1.0,llm_judge_score,1.1336679458618164,5.735e-05,1025,61,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,exact_query_cache_light_grounded,"FILTER_NOT_EMPTY,SPLIT_BY_VALUES,SPLIT_BY_VALUES,AGGREGATE_PARTITIONS,COMPARE_PARTITIONS",False,0.0,0,0,0.0,0.0,0.0005442920000859885,0.8769062910005232,0.14781204199971398,0.0,0.0,0.06953749999956926,0.0,0.0,0.5442920000859885,876.9062910005232,147.81204199971398,0.0,0.0,69.53749999956926,0.0
FLASH_FUSION_CACHE,hit_rejected,9,1.0,guardrail_skip_expected_rejection,0.5167598724365234,1.795e-05,317,21,False,True,N/A,"exact_cache_hit_out_of_scope,cache_light_rejection_reason,cache_rejection_reason_ready",guardrail_reject,,exact_query_cache_out_of_scope,,False,0.0,0,0,0.0,0.0,0.0005571669998971629,0.0,0.0,0.4809363749991462,0.0,0.0,0.0,0.0,0.5571669998971629,0.0,0.0,480.9363749991462,0.0,0.0,0.0
FLASH_FUSION_CACHE,hit_rejected,10,1.0,guardrail_skip_expected_rejection,0.5387668609619141,1.77e-05,316,19,False,True,N/A,"semantic_cache_hit_out_of_scope,cache_light_rejection_reason,cache_rejection_reason_ready",guardrail_reject,,semantic_query_cache_out_of_scope,,False,0.0,0,0,0.0,0.0,0.011975666999205714,0.0,0.0001364170002489118,0.48760154100000364,0.0,0.0,0.0,0.0,11.975666999205714,0.0,0.1364170002489118,487.60154100000364,0.0,0.0,0.0
FLASH_FUSION_CACHE,hit_rejected,11,1.0,guardrail_skip_expected_rejection,0.7813670635223389,1.965e-05,317,38,False,True,N/A,"exact_cache_hit_out_of_scope,cache_light_rejection_reason,cache_rejection_reason_ready",guardrail_reject,,exact_query_cache_out_of_scope,,False,0.0,0,0,0.0,0.0,0.0005052919996160199,0.0,0.0,0.7349139999996623,0.0,0.0,0.0,0.0,0.5052919996160199,0.0,0.0,734.9139999996623,0.0,0.0,0.0
FLASH_FUSION_CACHE,hit_rejected,12,1.0,guardrail_skip_expected_rejection,3.0470738410949707,2.005e-05,321,40,False,True,N/A,"semantic_cache_hit_out_of_scope,cache_light_rejection_reason,cache_rejection_reason_ready",guardrail_reject,,semantic_query_cache_out_of_scope,,False,0.0,0,0,0.0,0.0,2.2372507079999195,0.0,0.00011308400007692399,0.7574371250002514,0.0,0.0,0.0,0.0,2237.2507079999195,0.0,0.11308400007692399,757.4371250002514,0.0,0.0,0.0
FLASH_FUSION_CACHE,hit,13,1.0,llm_judge_score,5.394658088684082,5.64e-05,1008,60,True,False,N/A,"hybrid_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,semantic_cache_light_grounded,PREDICTIVE_PIPELINE,False,0.0,0,0,0.0,0.0,0.14252729200052272,0.7680131659999461,0.0013777910007775063,0.0,0.0,4.449623915999837,0.0,0.0,142.52729200052272,768.0131659999461,1.3777910007775063,0.0,0.0,4449.623915999837,0.0
FLASH_FUSION_CACHE,hit,14,1.0,llm_judge_score,53.149768114089966,5.64e-05,1008,60,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,exact_query_cache_light_grounded,PREDICTIVE_PIPELINE,False,0.0,0,0,0.0,0.0,0.001292707999709819,0.8724810419998903,0.0002974170001834864,0.0,0.0,48.962307917000544,0.0,0.0,1.292707999709819,872.4810419998903,0.2974170001834864,0.0,0.0,48962.307917000544,0.0
FLASH_FUSION_CACHE,hit,15,1.0,llm_judge_score,3.141914129257202,5.67e-05,1012,61,True,False,N/A,"hybrid_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,semantic_cache_light_grounded,PREDICTIVE_PIPELINE,False,0.0,0,0,0.0,0.0,0.13926420799998596,0.8901784580002641,0.0012669999996433035,0.0,0.0,2.0607697909999843,0.0,0.0,139.26420799998596,890.1784580002641,1.2669999996433035,0.0,0.0,2060.7697909999843,0.0
