run_id,baseline,query_id,gt_score,gt_method,latency_s,cost_usd,input_tokens,output_tokens,executed,rejected,judge_verdict,stages_run
1,AUTOIOT_ONLY,1,1.0,llm_judge_score,2.7811310291290283,8.560999999999999e-05,121,18,True,False,,agent
1,AUTOIOT_ONLY,2,1.0,llm_judge_score,2.4726569652557373,9.467e-05,131,22,True,False,,agent
1,AUTOIOT_ONLY,3,1.0,llm_judge_score,2.8576772212982178,9.862e-05,131,27,True,False,,agent
1,AUTOIOT_ONLY,4,1.0,llm_judge_score,2.419718980789185,8.836e-05,127,17,True,False,,agent
1,AUTOIOT_ONLY,5,1.0,llm_judge_score,3.144080877304077,0.00018314,135,131,True,False,,agent
1,AUTOIOT_ONLY,6,1.0,llm_judge_score,3.3117380142211914,0.0001953499999999,149,136,True,False,,agent
1,AUTOIOT_ONLY,7,1.0,llm_judge_score,2.579298973083496,0.00010888,135,37,True,False,,agent
1,AUTOIOT_ONLY,8,1.0,llm_judge_score,2.7740440368652344,0.00011458,146,36,True,False,,agent
1,AUTOIOT_ONLY,9,0.0,llm_judge_score,2.9296717643737793,0.00023131,143,186,True,False,,agent
1,AUTOIOT_ONLY,10,1.0,llm_judge_score,6.384984970092773,0.0003328399999999,137,319,True,False,,agent
1,AUTOIOT_ONLY,11,0.0,llm_judge_score,2.6462371349334717,0.00012722,146,52,True,False,,agent
1,AUTOIOT_ONLY,12,0.0,llm_judge_score,3.9666519165039062,0.00026371,139,230,True,False,,agent
2,AUTOIOT_ONLY,1,1.0,llm_judge_score,2.4779510498046875,8.560999999999999e-05,121,18,True,False,,agent
2,AUTOIOT_ONLY,2,1.0,llm_judge_score,2.7456581592559814,9.467e-05,131,22,True,False,,agent
2,AUTOIOT_ONLY,3,1.0,llm_judge_score,2.520562171936035,9.862e-05,131,27,True,False,,agent
2,AUTOIOT_ONLY,4,1.0,llm_judge_score,2.2736639976501465,8.836e-05,127,17,True,False,,agent
2,AUTOIOT_ONLY,5,1.0,llm_judge_score,3.0317649841308594,0.00018314,135,131,True,False,,agent
2,AUTOIOT_ONLY,6,0.0,llm_judge_score,3.636366128921509,0.00025539,149,212,True,False,,agent
2,AUTOIOT_ONLY,7,1.0,llm_judge_score,5.180353879928589,0.00019882,262,56,True,False,,agent
2,AUTOIOT_ONLY,8,1.0,llm_judge_score,2.787208795547486,0.00011537,146,37,True,False,,agent
2,AUTOIOT_ONLY,9,0.0,llm_judge_score,6.325900077819824,0.0004454899999999,265,366,True,False,,agent
2,AUTOIOT_ONLY,10,1.0,llm_judge_score,5.528706073760986,0.00028623,137,260,True,False,,agent
2,AUTOIOT_ONLY,11,1.0,llm_judge_score,8.646806716918945,0.00056457,349,454,True,False,,agent
2,AUTOIOT_ONLY,12,0.0,llm_judge_score,8.760440111160278,0.00067144,261,655,True,False,,agent
3,AUTOIOT_ONLY,1,1.0,llm_judge_score,2.5468101501464844,8.560999999999999e-05,121,18,True,False,,agent
3,AUTOIOT_ONLY,2,1.0,llm_judge_score,2.539332151412964,9.467e-05,131,22,True,False,,agent
3,AUTOIOT_ONLY,3,1.0,llm_judge_score,2.769167900085449,9.862e-05,131,27,True,False,,agent
3,AUTOIOT_ONLY,4,1.0,llm_judge_score,2.3619070053100586,8.836e-05,127,17,True,False,,agent
3,AUTOIOT_ONLY,5,1.0,llm_judge_score,3.0608608722686768,0.00017921,127,132,True,False,,agent
3,AUTOIOT_ONLY,6,0.0,llm_judge_score,3.3400471210479736,0.00021668,149,163,True,False,,agent
3,AUTOIOT_ONLY,7,1.0,llm_judge_score,2.8072760105133057,0.00010888,135,37,True,False,,agent
3,AUTOIOT_ONLY,8,1.0,llm_judge_score,2.6859467029571533,0.00011458,146,36,True,False,,agent
3,AUTOIOT_ONLY,9,0.0,llm_judge_score,6.33151912689209,0.00046978,266,396,True,False,,agent
3,AUTOIOT_ONLY,10,1.0,llm_judge_score,5.656059741973877,0.00029887,137,276,True,False,,agent
3,AUTOIOT_ONLY,11,0.0,llm_judge_score,3.0309319496154785,0.00021868,139,173,True,False,,agent
3,AUTOIOT_ONLY,12,0.0,llm_judge_score,8.770857810974121,0.0006653299999999,256,651,True,False,,agent
