baseline,query_id,gt_score,gt_method,latency_s,cost_usd,input_tokens,output_tokens,executed,rejected,judge_verdict,stages_run,s1_latency_s,s2_latency_s,s3_latency_s,guardrail_latency_s,agent_latency_s,s1_latency_ms,s2_latency_ms,s3_latency_ms,guardrail_latency_ms,agent_latency_ms,dataset,fraction,fraction_tag,sample_rows,full_rows
REACT_ONLY,1,1.0,llm_judge_score,15.76540994644165,0.0004988299999999999,812,25,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bus,0.2,20,243,1219
REACT_ONLY,2,1.0,llm_judge_score,5.083426237106323,0.00050435,816,29,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bus,0.2,20,243,1219
REACT_ONLY,3,1.0,llm_judge_score,8.62373399734497,0.00052585,827,48,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bus,0.2,20,243,1219
REACT_ONLY,4,1.0,llm_judge_score,8.007023096084595,0.00052404,840,36,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bus,0.2,20,243,1219
REACT_ONLY,5,1.0,llm_judge_score,7.866379976272583,0.00061129,858,133,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bus,0.2,20,243,1219
REACT_ONLY,6,1.0,llm_judge_score,5.21028995513916,0.00058061,885,74,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bus,0.2,20,243,1219
REACT_ONLY,7,1.0,llm_judge_score,5.839913845062256,0.00054832,845,63,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bus,0.2,20,243,1219
REACT_ONLY,8,0.0,llm_judge_score,14.51028299331665,0.0005795399999999999,839,107,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bus,0.2,20,243,1219
REACT_ONLY,9,1.0,llm_judge_score,23.06971502304077,0.00059874,822,144,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bus,0.2,20,243,1219
REACT_ONLY,10,0.0,llm_judge_score,6.288986921310425,0.00062439,832,169,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bus,0.2,20,243,1219
REACT_ONLY,11,1.0,llm_judge_score,25.42939305305481,0.0014806899999999998,2278,173,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bus,0.2,20,243,1219
REACT_ONLY,12,0.0,llm_judge_score,20.10164189338684,0.00097801,873,586,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bus,0.2,20,243,1219
