baseline,query_id,gt_score,gt_method,latency_s,cost_usd,input_tokens,output_tokens,executed,rejected,judge_verdict,stages_run,s1_latency_s,s2_latency_s,s3_latency_s,guardrail_latency_s,agent_latency_s,s1_latency_ms,s2_latency_ms,s3_latency_ms,guardrail_latency_ms,agent_latency_ms,dataset,fraction,fraction_tag,sample_rows,full_rows
REACT_ONLY,1,1.0,llm_judge_score,3.8712971210479736,0.00026523,400,37,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wisdm,0.8,80,878558,1098198
REACT_ONLY,2,1.0,llm_judge_score,3.8632593154907227,0.00026068999999999995,399,32,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wisdm,0.8,80,878558,1098198
REACT_ONLY,3,1.0,llm_judge_score,4.660600185394287,0.00027256,391,53,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wisdm,0.8,80,878558,1098198
REACT_ONLY,4,1.0,llm_judge_score,4.102473020553589,0.00025458,394,28,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wisdm,0.8,80,878558,1098198
REACT_ONLY,5,1.0,llm_judge_score,12.351840019226074,0.00039226999999999996,381,212,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wisdm,0.8,80,878558,1098198
REACT_ONLY,6,1.0,llm_judge_score,7.544265985488892,0.00045938,397,285,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wisdm,0.8,80,878558,1098198
REACT_ONLY,7,1.0,llm_judge_score,7.952121257781982,0.00033478,388,134,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wisdm,0.8,80,878558,1098198
REACT_ONLY,8,1.0,llm_judge_score,10.245346069335938,0.00034087999999999995,397,135,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wisdm,0.8,80,878558,1098198
REACT_ONLY,9,0.0,llm_judge_score,18.781386137008667,0.00052319,390,371,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wisdm,0.8,80,878558,1098198
REACT_ONLY,10,1.0,llm_judge_score,16.444115161895752,0.00041998999999999997,432,209,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wisdm,0.8,80,878558,1098198
REACT_ONLY,11,1.0,llm_judge_score,61.72971487045288,0.0015393,1191,1059,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wisdm,0.8,80,878558,1098198
REACT_ONLY,12,0.0,llm_judge_score,15.258557081222534,0.00042126999999999996,394,239,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wisdm,0.8,80,878558,1098198
