baseline,query_id,gt_score,gt_method,latency_s,cost_usd,input_tokens,output_tokens,executed,rejected,judge_verdict,stages_run,execution_path,plan_validation_stage_failed,plan_source,operators_used,s1_latency_s,s2_latency_s,s3_latency_s,guardrail_latency_s,typed_exec_latency_s,agent_latency_s,s1_latency_ms,s2_latency_ms,s3_latency_ms,guardrail_latency_ms,typed_exec_latency_ms,agent_latency_ms
FLASH_FUSION,1,1.0,llm_judge_score,12.348336219787598,0.004780339999999999,7959,107,True,False,N/A,"guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"FILTER_IN,AGGREGATE_COLUMN",0.0,0.0,0.0,8.812946319580078,0.052114009857177734,0.052114009857177734,0.0,0.0,0.0,8812.946319580078,52.114009857177734,52.114009857177734
FLASH_FUSION,2,1.0,llm_judge_score,12.226477146148682,0.00477149,7944,107,True,False,N/A,"guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"FILTER_IN,AGGREGATE_COLUMN",0.0,0.0,0.0,8.689913034439087,0.04333901405334473,0.04333901405334473,0.0,0.0,0.0,8689.913034439087,43.33901405334473,43.33901405334473
FLASH_FUSION,3,1.0,llm_judge_score,8.007668018341064,0.00478374,7942,124,True,False,N/A,"guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"FILTER_IN,FILTER_COMPARE,COUNT_ROWS",0.0,0.0,0.0,4.525242805480957,0.06000804901123047,0.06000804901123047,0.0,0.0,0.0,4525.242805480957,60.00804901123047,60.00804901123047
FLASH_FUSION,4,1.0,llm_judge_score,22.566204071044922,0.00479045,7944,131,True,False,N/A,"guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"FILTER_IN,FILTER_NOT_EMPTY,FILTER_EQ_AGGREGATE,SELECT_COLUMN",0.0,0.0,0.0,18.75676918029785,0.13381028175354004,0.13381028175354004,0.0,0.0,0.0,18756.76918029785,133.81028175354004,133.81028175354004
FLASH_FUSION,5,1.0,llm_judge_score,23.581209897994995,0.00517008,8404,268,True,False,N/A,"guardrail_plan,react_fallback,agent",react_fallback,schema,llm,,0.0,0.0,0.0,9.209836959838867,0.0,10.946264028549194,0.0,0.0,0.0,9209.836959838867,0.0,10946.264028549194
FLASH_FUSION,6,1.0,llm_judge_score,33.678955078125,0.0048988899999999995,7939,272,True,False,N/A,"guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"PARALLEL_AGGREGATE,DERIVE_BINARY,RANK_ROWS",0.0,0.0,0.0,29.275543689727783,0.9977457523345947,0.9977457523345947,0.0,0.0,0.0,29275.543689727783,997.7457523345947,997.7457523345947
FLASH_FUSION,7,0.0,llm_judge_score,32.92760992050171,0.005259440000000001,8368,408,True,False,N/A,"guardrail_plan,react_fallback,agent",react_fallback,structural,llm,,0.0,0.0,0.0,16.182427167892456,0.0,13.214495182037354,0.0,0.0,0.0,16182.427167892456,0.0,13214.495182037354
FLASH_FUSION,8,1.0,llm_judge_score,7.412946939468384,0.004783879999999999,7965,107,True,False,N/A,"guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"FILTER_IN,AGGREGATE_COLUMN",0.0,0.0,0.0,3.991316080093384,0.04514908790588379,0.04514908790588379,0.0,0.0,0.0,3991.316080093384,45.14908790588379,45.14908790588379
FLASH_FUSION,9,1.0,guardrail_skip_expected_rejection,5.279475212097168,0.0047391,7944,66,False,True,N/A,guardrail_plan,guardrail_reject,,llm,,0.0,0.0,0.0,1.979327917098999,0.0,0.0,0.0,0.0,0.0,1979.327917098999,0.0,0.0
FLASH_FUSION,10,0.0,llm_judge_score,33.3404541015625,0.005366259999999999,8379,535,True,False,N/A,"guardrail_plan,react_fallback,agent",react_fallback,structural,llm,,0.0,0.0,0.0,13.008338212966919,0.0,16.98071312904358,0.0,0.0,0.0,13008.338212966919,0.0,16980.71312904358
