baseline,cache_outcome,query_id,gt_score,gt_method,latency_s,cost_usd,input_tokens,output_tokens,executed,rejected,judge_verdict,stages_run,execution_path,plan_validation_stage_failed,plan_source,operators_used,ff_fast_path_used,ff_fast_path_latency_s,ff_fast_path_input_tokens,ff_fast_path_output_tokens,ff_fast_path_cost_usd,ff_planner_used,ff_planner_latency_s,ff_planner_input_tokens,ff_planner_output_tokens,ff_planner_cost_usd,s1_latency_s,s2_latency_s,s3_latency_s,guardrail_latency_s,cache_lookup_latency_s,cache_grounding_latency_s,cache_validation_latency_s,cache_rejection_latency_s,typed_exec_latency_s,agent_latency_s,s1_latency_ms,s2_latency_ms,s3_latency_ms,guardrail_latency_ms,cache_lookup_latency_ms,cache_grounding_latency_ms,cache_validation_latency_ms,cache_rejection_latency_ms,typed_exec_latency_ms,agent_latency_ms
FLASH_FUSION_CACHE,hit,1,1.0,llm_judge_score,1.8140769004821777,0.0001882,1718,82,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,exact_query_cache_light_grounded,"FILTER_COMPARE,AGGREGATE_COLUMN",False,0.0,0,0,0.0,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.00032462499984831084,1.8074896250000165,0.0025338329996884568,0.0,0.003299250000054599,0.0,0.0,0.0,0.0,0.0,0.32462499984831084,1807.4896250000165,2.5338329996884568,0.0,3.299250000054599,0.0
FLASH_FUSION_CACHE,hit,2,0.0,llm_judge_score,1.273367166519165,0.0001798,1698,50,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,exact_query_cache_light_grounded,"FILTER_NOT_EMPTY,FILTER_COMPARE,COUNT_DISTINCT",False,0.0,0,0,0.0,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.00023712499933026265,1.0957332079997286,0.0010508340019441675,0.0,0.17516499999874213,0.0,0.0,0.0,0.0,0.0,0.23712499933026265,1095.7332079997286,1.0508340019441675,0.0,175.16499999874213,0.0
FLASH_FUSION_CACHE,miss,3,1.0,llm_judge_score,3.306297779083252,0.00199992,1551,145,True,False,N/A,"cache_miss_or_validation_failure,guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"FILTER_COMPARE,FILTER_COMPARE,AGGREGATE_COLUMN",False,0.0,0,0,0.0,True,3.245353937149048,1551,145,0.00199992,0.0,0.0,0.0,3.245387077331543,0.00032454199936182704,0.0,0.00011145799908263143,0.0,0.004583835601806641,0.0,0.0,0.0,0.0,3245.387077331543,0.32454199936182704,0.0,0.11145799908263143,0.0,4.583835601806641,0.0
FLASH_FUSION_CACHE,hit,4,1.0,llm_judge_score,2.1169228553771973,0.0001872,1724,74,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,exact_query_cache_light_grounded,"GROUP_AGGREGATE,RANK_GROUPS",False,0.0,0,0,0.0,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.00030108399914752226,2.0980780000008963,0.0004644170003302861,0.0,0.017766750001101173,0.0,0.0,0.0,0.0,0.0,0.30108399914752226,2098.0780000008963,0.4644170003302861,0.0,17.766750001101173,0.0
FLASH_FUSION_CACHE,miss,5,1.0,llm_judge_score,5.0899741649627686,0.004654455,3816,260,True,False,N/A,"cache_miss_or_validation_failure,guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"FILTER_NOT_EMPTY,DERIVE_VECTOR_MAGNITUDE,SPLIT_BY_VALUES,SPLIT_BY_VALUES,AGGREGATE_PARTITIONS,COMPARE_PARTITIONS",False,0.0,0,0,0.0,True,4.8905298709869385,3816,260,0.004654455,0.0,0.0,0.0,4.89057993888855,0.0012037090000376338,0.0,0.00012183400031062774,0.0,0.19577789306640625,0.0,0.0,0.0,0.0,4890.57993888855,1.2037090000376338,0.0,0.12183400031062774,0.0,195.77789306640625,0.0
FLASH_FUSION_CACHE,miss,6,1.0,llm_judge_score,8.388206958770752,0.00970203,8431,401,True,False,N/A,"cache_miss_or_validation_failure,guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"FILTER_NOT_EMPTY,DERIVE_DURATION_SECONDS,PARALLEL_AGGREGATE,DERIVE_BINARY,FILTER_COMPARE,RANK_ROWS",False,0.0,0,0,0.0,True,7.937680959701538,8431,401,0.00970203,0.0,0.0,0.0,7.937703847885132,0.0003277080013504019,0.0,0.00014433300020755269,0.0,0.44741296768188477,0.0,0.0,0.0,0.0,7937.703847885132,0.3277080013504019,0.0,0.1443330002075527,0.0,447.41296768188477,0.0
FLASH_FUSION_CACHE,hit,7,1.0,llm_judge_score,1.4714710712432861,0.0001938,1766,86,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,exact_query_cache_light_grounded,"FILTER_COMPARE,FILTER_COMPARE,DERIVE_VECTOR_MAGNITUDE,AGGREGATE_COLUMN",False,0.0,0,0,0.0,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0002847499999916181,1.4568488750010147,0.0009813329997996334,0.0,0.013036416999966605,0.0,0.0,0.0,0.0,0.0,0.2847499999916181,1456.8488750010147,0.9813329997996334,0.0,13.036416999966605,0.0
FLASH_FUSION_CACHE,miss,8,1.0,llm_judge_score,8.712037086486816,0.00159107,5597,357,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_miss_or_validation_failure,guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"FILTER_NOT_EMPTY,SPLIT_BY_VALUES,SPLIT_BY_VALUES,AGGREGATE_PARTITIONS,COMPARE_PARTITIONS",False,0.0,0,0,0.0,True,4.35799503326416,3806,206,0.00138177,0.0,0.0,0.0,4.358016014099121,0.0003434999998717103,4.14398274999985,0.00018504100080463104,0.0,0.16994094848632812,0.0,0.0,0.0,0.0,4358.016014099121,0.3434999998717103,4143.98274999985,0.18504100080463104,0.0,169.94094848632812,0.0
FLASH_FUSION_CACHE,hit,9,1.0,guardrail_skip_expected_rejection,1.2910192012786865,3.5e-05,296,27,False,True,N/A,"exact_cache_hit_out_of_scope,cache_light_rejection_reason,cache_rejection_reason_ready",guardrail_reject,,exact_query_cache_out_of_scope,,False,0.0,0,0,0.0,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.00032612500035611447,0.0,0.0,1.2902890000004845,0.0,0.0,0.0,0.0,0.0,0.0,0.32612500035611447,0.0,0.0,1290.2890000004845,0.0,0.0
FLASH_FUSION_CACHE,hit,10,1.0,guardrail_skip_expected_rejection,0.6674549579620361,3.35e-05,297,19,False,True,N/A,"exact_cache_hit_out_of_scope,cache_light_rejection_reason,cache_rejection_reason_ready",guardrail_reject,,exact_query_cache_out_of_scope,,False,0.0,0,0,0.0,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.000369707999197999,0.0,0.0,0.6666929999992135,0.0,0.0,0.0,0.0,0.0,0.0,0.369707999197999,0.0,0.0,666.6929999992135,0.0,0.0
