source_file,baseline,query_id,query_text,expected_rejection,gt_reference_answer,candidate_answer,candidate_rejected,candidate_executed,candidate_code,llm_verdict,llm_score,llm_reason,gt_sanity,gt_sanity_note,llm_raw
[in_memory_accuracysize_run],FLASH_FUSION,1,What is the maximum accel_variance observed in this dataset?,False,Maximum accel_variance is 5.8690.,The maximum accel_variance observed in this dataset is 5.869.,False,True,result = df['accel_variance'].max(),PASS,1.0,The candidate answer matches the ground truth value.,SOUND,The ground truth value is a specific numeric value.,"```json
{
  ""verdict"": ""PASS"",
  ""reason"": ""The candidate answer matches the ground truth value."",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""The ground truth value is a specific numeric value.""
}
```"
[in_memory_accuracysize_run],FLASH_FUSION,2,What is the average accel_mean across all recorded samples?,False,Average accel_mean across all samples is 9.2834.,The average accel_mean across all recorded samples is 9.283388022969648.,False,True,result = df['accel_mean'].mean(),PASS,1.0,Candidate answer matches ground truth,SOUND,Average accel_mean value is provided,"```json
{
  ""verdict"": ""PASS"",
  ""reason"": ""Candidate answer matches ground truth"",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""Average accel_mean value is provided""
}
```"
[in_memory_accuracysize_run],FLASH_FUSION,3,At what exact timestamp was the highest accel_stats_z_p99 recorded?,False,Highest accel_stats_z_p99 occurs at 2025-06-06 16:02:01 with value 16.7020.,The highest accel_stats_z_p99 was recorded at the timestamp 2025-06-06 16:02:01.,False,True,result = df[df['accel_stats_z_p99'].notnull()].loc[df[df['accel_stats_z_p99'].notnull()]['accel_stats_z_p99'].idxmax()]['timestamp'],PASS,1.0,The candidate answer matches the ground truth timestamp.,SOUND,Exact timestamp matches.,"```json
{
  ""verdict"": ""PASS"",
  ""reason"": ""The candidate answer matches the ground truth timestamp."",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""Exact timestamp matches.""
}
```"
[in_memory_accuracysize_run],FLASH_FUSION,4,How many data samples show an accel_variance strictly greater than 0.20?,False,Samples with accel_variance > 0.20: 352.,There are 352 data samples that show an accel_variance strictly greater than 0.20.,False,True,result = df[df['accel_variance'] > 0.20].shape[0],PASS,1.0,Candidate answer matches ground truth,SOUND,Ground truth is a clear numeric value,"```json
{
  ""verdict"": ""PASS"",
  ""reason"": ""Candidate answer matches ground truth"",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""Ground truth is a clear numeric value""
}
```"
[in_memory_accuracysize_run],FLASH_FUSION,5,"Is the northern half of the route (latitude above median) rougher than the southern half, based on average acceleration variance?",False,"Median latitude split is 33.776676. North-half mean accel_variance is 0.3699, south-half mean is 0.1631; the northern half is rougher by 0.2068.","The northern half of the route is rougher than the southern half, based on average acceleration variance.",False,True,"# Calculate the median of the latitude column
median_latitude = df['latitude'].median()

# Filter the DataFrame to create a northern half mask where latitude is greater than the median of latitude
northern_half_mask = df['latitude'] > median_latitude

# Filter the DataFrame to create a southern half mask where latitude is less than the median of latitude
southern_half_mask = df['latitude'] < median_latitude

# Calculate the average accel_variance for the northern half and southern half of the route using the masks
northern_half_avg_accel_variance = df.loc[northern_half_mask, 'accel_variance'].mean()
southern_half_avg_accel_variance = df.loc[southern_half_mask, 'accel_variance'].mean()

# Compare the average accel_variance of the northern half and southern half to determine if the northern half is rougher
result = northern_half_avg_accel_variance > southern_half_avg_accel_variance",PASS,1.0,Candidate answer matches the ground truth conclusion.,SOUND,Ground truth provides specific numbers to support the conclusion.,"```json
{
  ""verdict"": ""PASS"",
  ""reason"": ""Candidate answer matches the ground truth conclusion."",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""Ground truth provides specific numbers to support the conclusion.""
}
```"
[in_memory_accuracysize_run],FLASH_FUSION,6,"Which location (latitude, longitude) recorded the largest difference between the 99th and 1st percentile of the z-axis acceleration?",False,"Largest vertical shock (z_p99 - z_p1) is 11.1860 at (33.776932, -84.391906), timestamp 2025-06-06 16:02:01.","The location (latitude, longitude) that recorded the largest difference between the 99th and 1st percentile of the z-axis acceleration is (33.776932, -84.391906) with a difference of 11.186.",False,True,"# Filter the DataFrame to only include rows where the accel_stats_z_p99 and accel_stats_z_p1 values are not null
filtered_df = df.dropna(subset=['accel_stats_z_p99', 'accel_stats_z_p1'])

# Calculate the difference between accel_stats_z_p99 and accel_stats_z_p1 for each row in the filtered DataFrame
filtered_df['z_axis_diff'] = filtered_df['accel_stats_z_p99'] - filtered_df['accel_stats_z_p1']

# Find the row with the maximum z_axis_diff value
max_diff_row = filtered_df.loc[filtered_df['z_axis_diff'].idxmax()]

# Return the result as a Python dict containing the latitude, longitude, and z_axis_diff values
result = {'latitude': max_diff_row['latitude'], 'longitude': max_diff_row['longitude'], 'z_axis_diff': max_diff_row['z_axis_diff']}",PASS,1.0,The candidate answer matches the ground truth location and difference value.,SOUND,The ground truth answer provides a specific location and difference value.,"```json
{
  ""verdict"": ""PASS"",
  ""reason"": ""The candidate answer matches the ground truth location and difference value."",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""The ground truth answer provides a specific location and difference value.""
}
```"
[in_memory_accuracysize_run],FLASH_FUSION,7,"Calculate the average overall magnitude of peak acceleration using the 99th percentiles of the X, Y, and Z axes.",False,Average 3D peak acceleration magnitude [sqrt(x_p99^2 + y_p99^2 + z_p99^2)] across all samples is 11.4585.,The average overall magnitude of peak acceleration is 11.46.,False,True,"import numpy as np

# Filter the DataFrame to only include rows where accel_stats_x_p99, accel_stats_y_p99, and accel_stats_z_p99 are not null
filtered_df = df.dropna(subset=['accel_stats_x_p99', 'accel_stats_y_p99', 'accel_stats_z_p99'])

# Calculate the Euclidean distance of accel_stats_x_p99, accel_stats_y_p99, and accel_stats_z_p99 for each row in the filtered DataFrame
filtered_df['euclidean_distance'] = np.sqrt(filtered_df['accel_stats_x_p99']**2 + filtered_df['accel_stats_y_p99']**2 + filtered_df['accel_stats_z_p99']**2)

# Calculate the mean of these distances
result = filtered_df['euclidean_distance'].mean()",PASS,1.0,The candidate answer is factually correct and matches the ground truth within a minor rounding difference.,SOUND,The ground truth answer is a specific numeric value.,"```json
{
  ""verdict"": ""PASS"",
  ""reason"": ""The candidate answer is factually correct and matches the ground truth within a minor rounding difference."",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""The ground truth answer is a specific numeric value.""
}
```"
[in_memory_accuracysize_run],FLASH_FUSION,8,"If we group the data into 1-minute intervals, which time window experienced the most sustained turbulence?",False,The 1-minute window starting at 2025-06-06 16:01:00 had the highest total accel_variance of 88.0350.,"The time window that experienced the most sustained turbulence was from 2025-06-06 16:01:00, with a mean acceleration variance of 5.869.",False,True,"# Ensure all timestamps are within the valid range
df['timestamp'] = pd.to_datetime(df['timestamp'])
min_timestamp = df['timestamp'].min()
max_timestamp = df['timestamp'].max()
df = df[(df['timestamp'] >= min_timestamp) & (df['timestamp'] <= max_timestamp)]

# Calculate the mean of 'accel_variance' over a 1-minute time window based on the 'timestamp' column in `df`
df['window_start'] = df['timestamp'].dt.floor('min')
window_means = df.groupby('window_start')['accel_variance'].mean().reset_index()

# Find the maximum mean 'accel_variance' value from the result of the previous step
max_mean_accel_variance = window_means['accel_variance'].max()

# Rank the time windows by their mean 'accel_variance' values in descending order and return the top window
result = window_means.loc[window_means['accel_variance'] == max_mean_accel_variance].to_dict(orient='records')[0]",FAIL,0.0,Candidate answer has incorrect acceleration variance value,SOUND,Ground truth answer provides specific time and acceleration variance,"```json
{
  ""verdict"": ""FAIL"",
  ""reason"": ""Candidate answer has incorrect acceleration variance value"",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""Ground truth answer provides specific time and acceleration variance""
}
```"
[in_memory_accuracysize_run],FLASH_FUSION,9,How does passenger occupancy correlate with road roughness during this trip?,True,Reject: passenger occupancy data is unavailable in this bus dataset.,The Pearson correlation coefficient between passenger occupancy (as proxied by `accel_mean`) and road roughness (as proxied by `accel_variance`) during the trip is 0.1348.,False,True,"import pandas as pd

# Filter the dataframe to only include rows where timestamp is within the trip duration
start_time = df['timestamp'].min()
end_time = df['timestamp'].max()
filtered_df = df[(df['timestamp'] >= start_time) & (df['timestamp'] <= end_time)]

# Calculate the Pearson correlation coefficient between accel_mean and accel_variance
correlation = filtered_df['accel_mean'].corr(filtered_df['accel_variance'])

result = correlation",FAIL,0.0,Candidate answer does not reject the question due to unavailable data,SOUND,Passenger occupancy data is indeed unavailable,"```json
{
  ""verdict"": ""FAIL"",
  ""reason"": ""Candidate answer does not reject the question due to unavailable data"",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""Passenger occupancy data is indeed unavailable""
}
```"
[in_memory_accuracysize_run],FLASH_FUSION,11,Which bus driver generated the smoothest driving profile?,True,Reject: driver identity metadata is unavailable in this bus dataset.,"The bus driver who generated the smoothest driving profile is associated with the route ID (33.773148, -84.396743) and has a smoothness value of 0.019.",False,True,"# Filter the 'accel_variance' column to identify the minimum acceleration variance
min_accel_variance = df['accel_variance'].min()

# Group the DataFrame by the combined 'latitude' and 'longitude' columns and calculate the mean of 'accel_variance' for each group
grouped_df = df.groupby(['latitude', 'longitude'])['accel_variance'].mean().reset_index()

# Rank the groups by their mean 'accel_variance' in ascending order
ranked_df = grouped_df.sort_values(by='accel_variance').reset_index(drop=True)

# Identify the bus driver associated with the smoothest driving profile
smoothest_driver = ranked_df.loc[0, ['latitude', 'longitude']]

# Create a dictionary containing the entity identifier key and its metric value key
result = {'route_id': tuple(smoothest_driver), 'smoothness': min_accel_variance}",FAIL,0.0,Candidate answer does not reject the question due to lack of driver identity metadata.,SOUND,Driver identity metadata is indeed unavailable.,"```json
{
  ""verdict"": ""FAIL"",
  ""reason"": ""Candidate answer does not reject the question due to lack of driver identity metadata."",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""Driver identity metadata is indeed unavailable.""
}
```"
