run_id,baseline,query_id,gt_score,gt_method,latency_s,cost_usd,input_tokens,output_tokens,executed,rejected,judge_verdict,stages_run,protocol_id,protocol_verified,s1_latency_s,s2_latency_s,s3_latency_s,guardrail_latency_s,agent_latency_s,s1_latency_ms,s2_latency_ms,s3_latency_ms,guardrail_latency_ms,agent_latency_ms
1,REACT_ONLY,9,0.0,llm_judge_score,17.338581800460815,0.00051804,396,360,True,False,N/A,react_agent,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,REACT_ONLY,10,1.0,llm_judge_score,12.212549924850464,0.0005690999999999999,433,397,True,False,N/A,react_agent,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,REACT_ONLY,11,0.0,llm_judge_score,20.00304102897644,0.00063267,680,293,False,False,N/A,timeout,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,REACT_ONLY,12,0.0,llm_judge_score,34.05542707443237,0.0003995400000000001,396,210,True,False,N/A,react_agent,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,REACT_ONLY,9,0.0,llm_judge_score,38.639538049697876,0.00089201,750,569,True,False,N/A,react_agent,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,REACT_ONLY,10,0.0,llm_judge_score,54.24968719482422,0.00052792,394,374,True,False,N/A,react_agent,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,REACT_ONLY,11,0.0,llm_judge_score,35.311363220214844,0.00042343999999999997,395,241,True,False,N/A,react_agent,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,REACT_ONLY,12,0.0,llm_judge_score,12.604026079177856,0.00040542,414,204,True,False,N/A,react_agent,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,REACT_ONLY,9,0.0,llm_judge_score,48.471205949783325,0.0006219299999999999,394,493,True,False,N/A,react_agent,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,REACT_ONLY,10,1.0,llm_judge_score,17.065768003463745,0.0005269399999999999,391,375,True,False,N/A,react_agent,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,REACT_ONLY,11,1.0,llm_judge_score,20.00550603866577,0.00076262,682,456,False,False,N/A,timeout,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,REACT_ONLY,12,0.0,llm_judge_score,20.006098985671997,0.00037758000000000003,332,230,False,False,N/A,timeout,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
