query_id,query_type,baseline,accuracy_raw,latency_s,cost_usd,input_tokens,output_tokens,accuracy_percent
1,Direct,REACT_ONLY,1.0,3.308647871017456,0.0002658199999999,401,37,100.0
1,Direct,REACT_ONLY,1.0,2.669420003890991,0.0002546099999999,382,37,100.0
1,Direct,REACT_ONLY,1.0,2.913949966430664,0.0002546099999999,382,37,100.0
2,Direct,REACT_ONLY,1.0,2.100131034851074,0.00026069,399,32,100.0
2,Direct,REACT_ONLY,1.0,3.5099387168884277,0.0002612799999999,400,32,100.0
2,Direct,REACT_ONLY,1.0,2.4233968257904053,0.0002500699999999,381,32,100.0
3,Direct,REACT_ONLY,1.0,9.268393993377686,0.00027315,392,53,100.0
3,Direct,REACT_ONLY,1.0,5.266283988952637,0.00027315,392,53,100.0
3,Direct,REACT_ONLY,1.0,2.7617809772491455,0.00028495,412,53,100.0
4,Direct,REACT_ONLY,1.0,5.7380900382995605,0.00025458,394,28,100.0
4,Direct,REACT_ONLY,1.0,2.8388540744781494,0.00024712,376,32,100.0
4,Direct,REACT_ONLY,1.0,1.7892670631408691,0.00025517,395,28,100.0
5,Reasoning,REACT_ONLY,1.0,3.801347017288208,0.00039148,381,211,100.0
5,Reasoning,REACT_ONLY,1.0,10.101986169815063,0.00040803,397,220,100.0
5,Reasoning,REACT_ONLY,1.0,3.0735018253326416,0.00039148,381,211,100.0
6,Reasoning,REACT_ONLY,0.0,17.395185947418213,0.00050046,397,337,0.0
6,Reasoning,REACT_ONLY,1.0,18.32799172401428,0.00047518,397,305,100.0
6,Reasoning,REACT_ONLY,0.0,8.663089036941528,0.00047261,398,301,0.0
7,Reasoning,REACT_ONLY,1.0,7.698086738586426,0.00034717,409,134,100.0
7,Reasoning,REACT_ONLY,1.0,7.9921369552612305,0.00031162,409,89,100.0
7,Reasoning,REACT_ONLY,1.0,11.614362955093384,0.00033537,389,134,100.0
8,Reasoning,REACT_ONLY,0.0,3.59222412109375,0.00036424,454,122,0.0
8,Reasoning,REACT_ONLY,0.0,4.657496929168701,0.00035066,435,119,0.0
8,Reasoning,REACT_ONLY,1.0,9.11303210258484,0.0003414699999999,398,135,100.0
9,Out-of-Scope,REACT_ONLY,0.0,20.63790988922119,0.0009132,727,613,0.0
9,Out-of-Scope,REACT_ONLY,0.0,14.29683780670166,0.00050654,414,332,0.0
9,Out-of-Scope,REACT_ONLY,0.0,9.822335958480837,0.00048365,406,309,0.0
10,Out-of-Scope,REACT_ONLY,1.0,17.272984981536865,0.0005164,420,340,100.0
10,Out-of-Scope,REACT_ONLY,0.0,97.60255789756776,0.0014850699999999,1000,1133,0.0
10,Out-of-Scope,REACT_ONLY,1.0,16.85843586921692,0.00054819,423,378,100.0
11,Out-of-Scope,REACT_ONLY,0.0,6.42647385597229,0.0004685899999999,426,275,0.0
11,Out-of-Scope,REACT_ONLY,0.0,19.589988231658936,0.00085293,740,527,0.0
11,Out-of-Scope,REACT_ONLY,0.0,6.919796943664551,0.00046153,406,281,0.0
12,Out-of-Scope,REACT_ONLY,0.0,8.346606016159058,0.00047005,395,300,0.0
12,Out-of-Scope,REACT_ONLY,0.0,14.988831043243408,0.00043154,394,252,0.0
12,Out-of-Scope,REACT_ONLY,0.0,12.209741115570068,0.00042122,414,224,0.0
