baseline,query_id,gt_score,gt_method,latency_s,cost_usd,input_tokens,output_tokens,executed,rejected,judge_verdict,stages_run,s1_latency_s,s2_latency_s,s3_latency_s,guardrail_latency_s,agent_latency_s,s1_latency_ms,s2_latency_ms,s3_latency_ms,guardrail_latency_ms,agent_latency_ms
AUTOIOT_PAPER,1,1.0,llm_judge_score,327.4177372455597,0.02103697,27547,6056,True,False,N/A,"autoiot_terms,autoiot_search_queries,autoiot_retrieval,autoiot_design_high,autoiot_design_detail,autoiot_module_gen,autoiot_code_integration,autoiot_agent_loop,autoiot_select",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUTOIOT_PAPER,2,1.0,llm_judge_score,360.2818260192871,0.02299085,26752,9123,True,False,N/A,"autoiot_terms,autoiot_search_queries,autoiot_retrieval,autoiot_design_high,autoiot_design_detail,autoiot_module_gen,autoiot_code_integration,autoiot_agent_loop,autoiot_select",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUTOIOT_PAPER,3,1.0,llm_judge_score,688.3566291332245,0.01865549,19578,8993,True,False,N/A,"autoiot_terms,autoiot_search_queries,autoiot_retrieval,autoiot_design_high,autoiot_design_detail,autoiot_module_gen,autoiot_code_integration,autoiot_agent_loop,autoiot_select",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUTOIOT_PAPER,4,1.0,llm_judge_score,370.22576093673706,0.01619896,17692,7292,True,False,N/A,"autoiot_terms,autoiot_search_queries,autoiot_retrieval,autoiot_design_high,autoiot_design_detail,autoiot_module_gen,autoiot_code_integration,autoiot_agent_loop,autoiot_select",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUTOIOT_PAPER,5,0.0,llm_judge_score,1751.562647819519,0.04073613,40378,21409,True,False,N/A,"autoiot_terms,autoiot_search_queries,autoiot_retrieval,autoiot_design_high,autoiot_design_detail,autoiot_module_gen,autoiot_code_integration,autoiot_agent_loop,autoiot_select",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUTOIOT_PAPER,6,1.0,llm_judge_score,680.7633368968964,0.02565204,26327,12809,True,False,N/A,"autoiot_terms,autoiot_search_queries,autoiot_retrieval,autoiot_design_high,autoiot_design_detail,autoiot_module_gen,autoiot_code_integration,autoiot_agent_loop,autoiot_select",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUTOIOT_PAPER,7,1.0,llm_judge_score,470.11522603034973,0.01956507,20726,9287,True,False,N/A,"autoiot_terms,autoiot_search_queries,autoiot_retrieval,autoiot_design_high,autoiot_design_detail,autoiot_module_gen,autoiot_code_integration,autoiot_agent_loop,autoiot_select",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUTOIOT_PAPER,8,1.0,llm_judge_score,542.6240949630737,0.02028093,21942,9285,True,False,N/A,"autoiot_terms,autoiot_search_queries,autoiot_retrieval,autoiot_design_high,autoiot_design_detail,autoiot_module_gen,autoiot_code_integration,autoiot_agent_loop,autoiot_select",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUTOIOT_PAPER,9,0.0,llm_judge_score,540.3718037605286,0.01941029,18490,10761,True,False,N/A,"autoiot_terms,autoiot_search_queries,autoiot_retrieval,autoiot_design_high,autoiot_design_detail,autoiot_module_gen,autoiot_code_integration,autoiot_agent_loop,autoiot_select",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUTOIOT_PAPER,10,1.0,llm_judge_score,426.5545160770416,0.02067917,20093,11170,True,False,N/A,"autoiot_terms,autoiot_search_queries,autoiot_retrieval,autoiot_design_high,autoiot_design_detail,autoiot_module_gen,autoiot_code_integration,autoiot_agent_loop,autoiot_select",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUTOIOT_PAPER,11,0.0,llm_judge_score,374.9990990161896,0.02149076,23386,9738,True,False,N/A,"autoiot_terms,autoiot_search_queries,autoiot_retrieval,autoiot_design_high,autoiot_design_detail,autoiot_module_gen,autoiot_code_integration,autoiot_agent_loop,autoiot_select",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUTOIOT_PAPER,12,0.0,llm_judge_score,612.5796239376068,0.02376745,23264,12711,True,False,N/A,"autoiot_terms,autoiot_search_queries,autoiot_retrieval,autoiot_design_high,autoiot_design_detail,autoiot_module_gen,autoiot_code_integration,autoiot_agent_loop,autoiot_select",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
