baseline,query_id,gt_score,gt_method,latency_s,cost_usd,input_tokens,output_tokens,executed,rejected,judge_verdict,stages_run,execution_path,plan_validation_stage_failed,plan_source,operators_used,ff_fast_path_used,ff_fast_path_latency_s,ff_fast_path_input_tokens,ff_fast_path_output_tokens,ff_fast_path_cost_usd,ff_planner_used,ff_planner_latency_s,ff_planner_input_tokens,ff_planner_output_tokens,ff_planner_cost_usd,s1_latency_s,s2_latency_s,s3_latency_s,guardrail_latency_s,cache_grounding_latency_s,typed_exec_latency_s,agent_latency_s,s1_latency_ms,s2_latency_ms,s3_latency_ms,guardrail_latency_ms,cache_grounding_latency_ms,typed_exec_latency_ms,agent_latency_ms
FLASH_FUSION_CACHE,1,1.0,llm_judge_score,1.4686028957366943,0.0001319,1267,26,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,exact_query_cache_light_grounded,AGGREGATE_COLUMN,False,0.0,0,0,0.0,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.4663243330014666,0.0005625829999189591,0.0,0.0,0.0,0.0,0.0,1466.3243330014666,0.5625829999189591,0.0
FLASH_FUSION_CACHE,2,1.0,llm_judge_score,0.6870040893554688,0.0001319,1267,26,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,exact_query_cache_light_grounded,AGGREGATE_COLUMN,False,0.0,0,0,0.0,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.6845338340008311,0.0003788330013776431,0.0,0.0,0.0,0.0,0.0,684.5338340008311,0.3788330013776431,0.0
FLASH_FUSION_CACHE,3,1.0,llm_judge_score,1.4077649116516113,0.0001464,1310,77,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,exact_query_cache_light_grounded,"FILTER_EQ_AGGREGATE,SELECT_COLUMN",False,0.0,0,0,0.0,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.4015253340003255,0.004415417000927846,0.0,0.0,0.0,0.0,0.0,1401.5253340003255,4.415417000927846,0.0
FLASH_FUSION_CACHE,4,1.0,llm_judge_score,0.7409970760345459,0.0001338,1268,35,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,exact_query_cache_light_grounded,"FILTER_COMPARE,COUNT_ROWS",False,0.0,0,0,0.0,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.7380782919990452,0.0009347079994768137,0.0,0.0,0.0,0.0,0.0,738.0782919990452,0.9347079994768137,0.0
FLASH_FUSION_CACHE,5,1.0,llm_judge_score,7.13293719291687,0.002020538,4842,387,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_miss_or_validation_failure,guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"SPLIT_BY_THRESHOLD,SPLIT_BY_THRESHOLD,AGGREGATE_PARTITIONS,COMPARE_PARTITIONS",False,0.0,0,0,0.0,True,4.045744895935059,3462,206,0.001846338,0.0,0.0,0.0,4.0457751750946045,3.0810316249990137,0.0031859874725341797,0.0,0.0,0.0,0.0,4045.7751750946045,3081.0316249990137,3.1859874725341797,0.0
FLASH_FUSION_CACHE,6,0.0,llm_judge_score,3.015021800994873,0.0001846,1400,223,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,exact_query_cache_light_grounded,"PARALLEL_AGGREGATE,DERIVE_BINARY,RANK_ROWS",False,0.0,0,0,0.0,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.0055735420010024,0.007871040999816614,0.0,0.0,0.0,0.0,0.0,3005.5735420010024,7.871040999816614,0.0
FLASH_FUSION_CACHE,7,1.0,llm_judge_score,1.9845771789550781,0.0001526,1320,103,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,exact_query_cache_light_grounded,"DERIVE_VECTOR_MAGNITUDE,AGGREGATE_COLUMN",False,0.0,0,0,0.0,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.9796216659997299,0.002883167000618414,0.0,0.0,0.0,0.0,0.0,1979.6216659997299,2.883167000618414,0.0
FLASH_FUSION_CACHE,8,1.0,llm_judge_score,3.0843420028686523,0.00189969,7032,149,True,False,N/A,"cache_miss_or_validation_failure,guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"DERIVE_BIN,GROUP_AGGREGATE,RANK_GROUPS",False,0.0,0,0,0.0,True,3.0759201049804688,7032,149,0.00189969,0.0,0.0,0.0,3.0759499073028564,0.0,0.006798982620239258,0.0,0.0,0.0,0.0,3075.9499073028564,0.0,6.798982620239258,0.0
FLASH_FUSION_CACHE,9,1.0,guardrail_skip_expected_rejection,0.8691589832305908,5.82e-05,536,23,False,True,N/A,"exact_cache_hit_out_of_scope,cache_light_rejection_reason,cache_rejection_reason_ready",guardrail_reject,,exact_query_cache_out_of_scope,,False,0.0,0,0,0.0,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.8687434580006084,0.0,0.0,0.0,0.0,0.0,0.0,868.7434580006084,0.0,0.0
FLASH_FUSION_CACHE,10,1.0,guardrail_skip_expected_rejection,0.6163120269775391,5.73e-05,535,19,False,True,N/A,"exact_cache_hit_out_of_scope,cache_light_rejection_reason,cache_rejection_reason_ready",guardrail_reject,,exact_query_cache_out_of_scope,,False,0.0,0,0,0.0,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.6157092089997604,0.0,0.0,0.0,0.0,0.0,0.0,615.7092089997604,0.0,0.0
FLASH_FUSION_CACHE,11,1.0,guardrail_skip_expected_rejection,1.8784279823303223,0.001708356,9728,48,False,True,N/A,"cache_miss_or_validation_failure,guardrail_plan",guardrail_reject,,llm,,False,0.0,0,0,0.0,True,1.8772459030151367,9728,48,0.001708356,0.0,0.0,0.0,1.8772759437561035,0.0,0.0,0.0,0.0,0.0,0.0,1877.2759437561035,0.0,0.0,0.0
FLASH_FUSION_CACHE,12,1.0,guardrail_skip_expected_rejection,0.9406251907348633,5.87e-05,539,24,False,True,N/A,"exact_cache_hit_out_of_scope,cache_light_rejection_reason,cache_rejection_reason_ready",guardrail_reject,,exact_query_cache_out_of_scope,,False,0.0,0,0,0.0,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.940103500000987,0.0,0.0,0.0,0.0,0.0,0.0,940.103500000987,0.0,0.0
FLASH_FUSION_CACHE,13,1.0,llm_judge_score,1.4918720722198486,0.0001516,1360,78,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,exact_query_cache_light_grounded,PREDICTIVE_PIPELINE,False,0.0,0,0,0.0,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.478146833998835,0.011461832998975297,0.0,0.0,0.0,0.0,0.0,1478.146833998835,11.461832998975297,0.0
FLASH_FUSION_CACHE,14,1.0,llm_judge_score,1.9784560203552246,0.0004557,1360,159,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,exact_query_cache_light_grounded,PREDICTIVE_PIPELINE,False,0.0,0,0,0.0,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.8563682499989227,0.12038229100107856,0.0,0.0,0.0,0.0,0.0,1856.3682499989227,120.38229100107856,0.0
FLASH_FUSION_CACHE,15,1.0,llm_judge_score,1.5423569679260254,0.0001522,1364,79,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,exact_query_cache_light_grounded,PREDICTIVE_PIPELINE,False,0.0,0,0,0.0,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.5332985420009209,0.007534917000157293,0.0,0.0,0.0,0.0,0.0,1533.2985420009209,7.534917000157293,0.0
FLASH_FUSION_CACHE,16,1.0,llm_judge_score,3.0993571281433105,0.0001681,1361,160,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,exact_query_cache_light_grounded,PREDICTIVE_PIPELINE,False,0.0,0,0,0.0,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2.836461374999999,0.2607742500003951,0.0,0.0,0.0,0.0,0.0,2836.461374999999,260.7742500003951,0.0
