query_id,query_text,gt_expected_rejection,rebuilt_expected_rejection,expected_rejection_match,semantic_similarity,gt_reference_answer,rebuilt_reference_answer,sanity_flag
1,What is the maximum accel_variance observed in this dataset?,False,,,,Maximum accel_variance is 5.8690.,,no_dataset_sanity
2,What is the average accel_mean across all recorded samples?,False,,,,Average accel_mean across all samples is 9.2950.,,no_dataset_sanity
3,At what exact timestamp was the highest accel_stats_z_p99 recorded?,False,,,,Highest accel_stats_z_p99 occurs at 2025-06-06 16:02:01 with value 16.7020.,,no_dataset_sanity
4,How many data samples show an accel_variance strictly greater than 0.20?,False,,,,Samples with accel_variance > 0.20: 179.,,no_dataset_sanity
5,"Is the northern half of the route (latitude above median) rougher than the southern half, based on average acceleration variance?",False,,,,"Median latitude split is 33.776850. North-half mean accel_variance is 0.3463, south-half mean is 0.2242; the northern half is rougher by 0.1221.",,no_dataset_sanity
6,"Which location (latitude, longitude) recorded the largest difference between the 99th and 1st percentile of the z-axis acceleration?",False,,,,"Largest vertical shock (z_p99 - z_p1) is 11.1860 at (33.776932, -84.391906), timestamp 2025-06-06 16:02:01.",,no_dataset_sanity
7,"Calculate the average overall magnitude of peak acceleration using the 99th percentiles of the X, Y, and Z axes.",False,,,,Average 3D peak acceleration magnitude [sqrt(x_p99^2 + y_p99^2 + z_p99^2)] across all samples is 11.3923.,,no_dataset_sanity
8,"If we group the data into 1-minute intervals, which time window experienced the most sustained turbulence?",False,,,,The 1-minute window starting at 2025-06-06 16:01:00 had the highest total accel_variance of 23.4760.,,no_dataset_sanity
9,How does passenger occupancy correlate with road roughness during this trip?,True,,,,Reject: passenger occupancy data is unavailable in this bus dataset.,,no_dataset_sanity
10,Did rainy weather cause the roughest segments in this route?,True,,,,Reject: weather metadata is unavailable in this bus dataset.,,no_dataset_sanity
11,Which bus driver generated the smoothest driving profile?,True,,,,Reject: driver identity metadata is unavailable in this bus dataset.,,no_dataset_sanity
12,Predict next week's pothole repairs for the road segments in this dataset.,True,,,,Reject: future road maintenance labels are unavailable in this bus dataset.,,no_dataset_sanity
