run_id,baseline,query_id,gt_score,gt_method,latency_s,cost_usd,input_tokens,output_tokens,executed,rejected,judge_verdict,stages_run,protocol_id,protocol_verified,s1_latency_s,s2_latency_s,s3_latency_s,guardrail_latency_s,agent_latency_s,s1_latency_ms,s2_latency_ms,s3_latency_ms,guardrail_latency_ms,agent_latency_ms
1,REACT_ONLY,9,0.0,llm_judge_score,11.760446071624756,0.0006647,824,226,True,False,N/A,react_agent,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,REACT_ONLY,10,0.0,llm_judge_score,12.764988899230957,0.0007876599999999999,1015,239,True,False,N/A,react_agent,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,REACT_ONLY,11,0.0,llm_judge_score,20.00167417526245,0.00148975,2288,177,False,False,N/A,timeout,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,REACT_ONLY,12,0.0,llm_judge_score,39.43983793258667,0.0017108,1637,943,True,False,N/A,react_agent,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,REACT_ONLY,9,0.0,llm_judge_score,6.4730823040008545,0.00059612,843,125,True,False,N/A,react_agent,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,REACT_ONLY,10,1.0,llm_judge_score,17.865178108215332,0.0011932400000000001,1602,314,True,False,N/A,react_agent,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,REACT_ONLY,11,0.0,llm_judge_score,20.001903772354126,0.0009911999999999998,1522,118,False,False,N/A,timeout,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,REACT_ONLY,12,0.0,llm_judge_score,48.16035509109497,0.0022269399999999997,2398,1028,True,False,N/A,react_agent,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,REACT_ONLY,9,0.0,llm_judge_score,8.46072506904602,0.00059079,842,119,True,False,N/A,react_agent,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,REACT_ONLY,10,0.0,llm_judge_score,8.786709070205688,0.0006035000000000001,814,156,True,False,N/A,react_agent,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,REACT_ONLY,11,0.0,llm_judge_score,26.4371018409729,0.0015612,2306,254,True,False,N/A,react_agent,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,REACT_ONLY,12,0.0,llm_judge_score,114.85248565673828,0.00160727,1653,800,True,False,N/A,react_agent,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
